id,age,gender,switch.h2w,switch.w2h,gcos.auto,gcos.cont,gcos.impe,mvs.intrinsic,mvs.integrated,mvs.identified,mvs.introjected,mvs.external,mvs.amotivation,triptype,info,familiarity,choice,time
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,C,R,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,B,L,1,11
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,C,P,1,7
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,V,R,1,7
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,V,P,1,10
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,V,R,2,12
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,F,P,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,C,R,1,10
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,F,P,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2H,F,R,1,5
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2W,V,P,1,6
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,W2F,B,L,1,4
2,29,Female,Never,Once a week,6.58,3.83,4.50,2,2.5,3.75,1.5,1.75,1,H2F,V,R,1,6
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2H,F,P,2,60
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2W,B,L,1,30
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2F,B,L,1,30
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2F,V,R,1,30
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2H,C,R,1,20
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2W,F,R,1,20
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2F,C,P,1,20
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2F,C,P,1,20
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2H,V,P,1,15
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2W,C,P,1,15
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2F,F,R,1,15
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2F,F,R,1,15
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2H,V,R,1,20
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2W,V,R,1,15
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,W2F,C,R,2,15
3,38,Female,Twice a week or more,Once a week,5.00,4.25,2.75,2,2,2.5,2.5,2.5,2.75,H2F,V,P,1,15
